frequency_hz,magnitude,phase_rad
0.0,7.403867770361287e-20,3.141592653589793
0.2,5.397333997955933e-17,1.8338921255259133
0.4,3.756428221181374e-17,1.582751280535472
0.6000000000000001,6.454267870468288e-17,2.014388353327903
0.8,1.7355473791261613e-16,1.5783061839268133
1.0,1.0,-1.5707963267948972
1.2000000000000002,2.1265802483659594e-16,-1.573157116309023
1.4000000000000001,1.0416932715750624e-16,-1.6461120510900686
1.6,8.022338352433526e-17,-1.5831850011328992
1.8,9.608840985758259e-17,-1.6236472726320725
2.0,5.186229540855809e-17,-1.575053546236275
2.2,5.669626628800606e-17,-1.7919241624948352
2.4000000000000004,3.889633026359336e-17,-1.5908224428752735
2.6,2.0076412585014535e-17,-1.1202444126459121
2.8000000000000003,3.232534856760411e-17,-1.601137625977387
3.0,2.396588040735452e-17,-1.1628791000720062
3.2,2.685397411287476e-17,-1.6079721881556905
3.4000000000000004,3.0527846266218746e-17,-1.5375764997460843
3.6,2.3806535675626908e-17,-1.6099529351984494
3.8000000000000003,3.204839036469526e-17,-2.0529724814657246
4.0,2.0622240183917075e-17,-1.587390822706699
4.2,4.966475477697806e-17,-1.5161297628594836
4.4,1.8308142898476262e-17,-1.6834103286567592
4.6000000000000005,1.3972676983097718e-17,-1.492577531224411
4.800000000000001,1.774493168020723e-17,-1.7921414617886078
5.0,1.958367800081752e-17,-2.024629205231118
5.2,1.617331247852013e-17,-1.4266774078425852
5.4,1.5070614817009484e-17,-2.243200022338389
5.6000000000000005,1.4355283676740382e-17,-1.5205324793971602
5.800000000000001,1.7422994221529072e-17,-1.1969867625444064
6.0,1.3181057221198321e-17,-1.540028998268866
6.2,9.526103241795849e-18,-1.7011004810840396
6.4,1.1426490886048546e-17,-1.6309792520157957
6.6000000000000005,1.3485619251024056e-17,-1.8037838781375182
6.800000000000001,1.250926467038299e-17,-1.8508453927312865
7.0,3.440363959968621e-17,-1.8139452127080056
7.2,1.2821781324025241e-17,-1.288290479653633
7.4,1.8928185641150507e-17,0.264313167114146
7.6000000000000005,1.0100641765417272e-17,-1.3511980106270056
7.800000000000001,4.296423916863775e-18,0.332028551285571
8.0,1.0213881174785989e-17,-1.4359285583057595
8.200000000000001,1.6696412998370908e-17,-1.483123518010089
8.4,8.569114215073937e-18,-1.4412449402751728
8.6,2.4768503377107257e-17,-1.4545803571315843
8.8,9.115561246272438e-18,-1.473037474869292
9.0,5.036067464320602e-18,-1.1914310718776646
9.200000000000001,8.807819011729648e-18,-1.5070680796689602
9.4,6.804616752682171e-18,-2.311250530174657
9.600000000000001,8.387301693361645e-18,-1.453378618595468
9.8,1.9038790265462045e-17,-2.064788258780391
10.0,8.10004239741428e-18,-1.393962272212689
10.200000000000001,7.630233949715276e-18,-2.6013955884297
10.4,7.472670617749702e-18,-1.4081065995233673
10.600000000000001,2.1393102149938733e-17,-0.43499091794238437
10.8,7.235889868678386e-18,-1.1684571361363052
11.0,8.08273305191455e-18,-0.5551080696659879
11.200000000000001,6.70134384738085e-18,-2.0512406999878783
11.4,9.054027866168513e-18,-1.4205850401572822
11.600000000000001,7.452886233896618e-18,-1.7269238554275639
11.8,1.2406087410494348e-17,0.033698816997822865
12.0,6.1931333954010326e-18,-1.5304168827567357
12.200000000000001,6.1643686856234385e-18,-1.8164287359101083
12.4,6.248707032709534e-18,-1.5656073401324724
12.600000000000001,1.283711284005964e-17,-2.2152717857388704
12.8,5.336247756610097e-18,-1.3849414089922116
13.0,6.887121982977709e-18,-2.1175629203334534
13.200000000000001,6.074223801424431e-18,-1.879839147448036
13.4,1.778490682584276e-18,-2.315140199264435
13.600000000000001,6.357640448814958e-18,-1.6989313032877613
13.8,1.336901149345009e-17,0.4397172336838007
14.0,5.552378106549331e-18,-1.684182609743477
14.200000000000001,1.0017777171246481e-17,-1.207017345198206
14.4,5.234931782719005e-18,-1.8743888652704468
14.600000000000001,6.8951355353809424e-18,-1.6427000179910944
14.8,7.518331418762412e-18,-2.1050921534923983
15.0,8.263153179675222e-18,-1.6418626820263738
15.200000000000001,7.664699932212148e-18,-1.180840661465268
15.4,1.1143127977814597e-17,-1.3440762900493632
15.600000000000001,5.110069152570115e-18,-1.2640293744579505
15.8,5.5345018602672974e-18,-1.6392542087585658
16.0,4.763392593680155e-18,-1.4888062718306603
16.2,3.652343858376244e-18,-2.062876473517466
16.400000000000002,4.6185004617939474e-18,-1.5649902708942527
16.6,7.849138337124477e-18,-2.8786577747233966
16.8,5.9780969713735656e-18,-2.0351896442029025
17.0,1.9579301549451043e-17,-2.289155045797288
17.2,6.696185467319136e-18,-1.0974962470276037
17.400000000000002,4.953843916759915e-18,-1.1362175132486398
17.6,4.621444973519582e-18,-1.1417032593708984
17.8,4.171262409154412e-18,-1.6408727168718986
18.0,4.5331658567370374e-18,-1.4893160857803862
18.2,6.518466229742255e-18,-0.5958267168747633
18.400000000000002,5.184009087749034e-18,-1.2421648537381837
18.6,6.727643392079107e-18,-0.4281272453695039
18.8,3.342474958544229e-18,-1.657202961011601
19.0,6.581070240501257e-18,-1.5038061560513276
19.200000000000003,4.689324830737046e-18,-1.3655475197632476
19.400000000000002,2.533304987527807e-18,-1.1507858346837392
19.6,4.1900837524591494e-18,-1.1456161940895602
19.8,3.1322284328514284e-18,-2.1291486182118993
20.0,4.093765984970401e-18,-1.4274907945035982
20.200000000000003,1.2767587328978314e-17,-0.7517382958175144
20.400000000000002,5.73780455345835e-18,-0.9843908615994118
20.6,4.589936886728682e-18,-0.8455670204158721
20.8,3.1218615854449538e-18,-0.029947851349114717
21.0,2.092243573248649e-18,-0.7335565736374025
21.200000000000003,3.0962808805499625e-18,-2.782484973115324
21.400000000000002,3.786376451078423e-18,1.0745695728144502
21.6,4.1729807750517616e-18,-1.7526246198066484
21.8,5.1347303952287075e-18,-1.757072713187984
22.0,3.665184694143663e-18,-1.5109911634394737
22.200000000000003,5.276890023130694e-18,-0.9199889487595686
22.400000000000002,3.3648350157929416e-18,-1.2343957837346782
22.6,4.488799609460595e-18,0.4062597530464784
22.8,2.3126071266642212e-18,-0.378723437558441
23.0,3.547701891437368e-18,2.7348500935741393
23.200000000000003,3.655645276391849e-18,-2.8630488958914326
23.400000000000002,1.3520808714956592e-17,-1.8018417159451632
23.6,4.332743132042787e-18,-2.1566296547505233
23.8,2.266406963884204e-18,-1.6059647068740053
24.0,3.765082221553165e-18,-1.6176350107883741
24.200000000000003,3.2933341543233836e-18,-2.516818482214965
24.400000000000002,2.496941448598469e-18,-1.9911579518410962
24.6,5.447747447787422e-18,-1.629629449539053
24.8,3.66947887057637e-18,-1.5428307342805274
25.0,3.2223815965893892e-18,-0.7553355893385555
25.200000000000003,3.447550542106698e-18,-2.009989056694711
25.400000000000002,1.666758988708546e-18,-1.7738445177867375
25.6,2.9779709120459273e-18,-1.6898249192910821
25.8,4.160704673563499e-18,-1.7939911838284879
26.0,2.596282450362214e-18,-1.3864401112271052
26.200000000000003,6.7206829369152516e-18,-2.0701100573454574
