index,t,value
0,0.0,0.0
1,0.0001,0.015896251553769242
2,0.0002,0.03179125950310505
3,0.0003,0.04768378042325342
4,0.0004,0.06357257124878754
5,0.0005,0.07945638945319206
6,0.0006,0.09533399322835255
7,0.0007,0.11120414166391814
8,0.0008,0.1270655949265057
9,0.0009,0.14291711443871435
10,0.001,0.15875746305791846
11,0.0011,0.1745854052548075
12,0.0012,0.19039970729164146
13,0.0013,0.20619913740019075
14,0.0014,0.2219824659593282
15,0.0015,0.23774846567224317
16,0.0016,0.25349591174324565
17,0.0017,0.2692235820541294
18,0.0018,0.28493025734006344
19,0.0019,0.30061472136498046
20,0.002,0.3162757610964315
21,0.0021,0.3319121668798761
22,0.0022,0.3475227326123775
23,0.0023,0.3631062559156717
24,0.0024,0.37866153830858074
25,0.0025,0.39418738537874
26,0.0026,0.4096826069536072
27,0.0027,0.42514601727072726
28,0.0028,0.4405764351472185
29,0.0029,0.4559726841484536
30,0.003,0.47133359275590536
31,0.0031,0.4866579945341252
32,0.0032,0.5019447282968296
33,0.0033,0.5171926382720611
34,0.0034,0.5324005742663978
35,0.0035,0.5475673918281815
36,0.0036,0.5626919524097358
37,0.0037,0.5777731235285465
38,0.0038,0.5928097789273751
39,0.0039,0.6078007987332792
40,0.004,0.6227450696155102
41,0.0041,0.6376414849422615
42,0.0042,0.6524889449362402
43,0.0043,0.6672863568290361
44,0.0044,0.6820326350142574
45,0.0045,0.6967267011994118
46,0.0046,0.7113674845565034
47,0.0047,0.7259539218713182
48,0.0048,0.7404849576913762
49,0.0049,0.7549595444725212
50,0.005,0.769376642724124
51,0.0051,0.7837352211528739
52,0.0052,0.7980342568051344
53,0.0053,0.8122727352078378
54,0.0054,0.8264496505078931
55,0.0055,0.840564005610086
56,0.0056,0.8546148123134467
57,0.0057,0.8686010914460582
58,0.0058,0.8825218729982889
59,0.0059,0.8963761962544207
60,0.006,0.9101631099226518
61,0.0061,0.9238816722634553
62,0.0062,0.9375309512162655
63,0.0063,0.9511100245244769
64,0.0064,0.9646179798587289
65,0.0065,0.9780539149384597
66,0.0066,0.9914169376517076
67,0.0067,1.0047061661731362
68,0.0068,1.0179207290802688
69,0.0069,1.0310597654679103
70,0.007,1.0441224250607342
71,0.0071,1.0571078683240223
72,0.0072,1.070015266572531
73,0.0073,1.0828438020774753
74,0.0074,1.095592668171601
75,0.0075,1.1082610693523394
76,0.0076,1.1208482213830198
77,0.0077,1.1333533513921252
78,0.0078,1.1457756979705749
79,0.0079,1.1581145112670215
80,0.008,1.1703690530811373
81,0.0081,1.182538596954887
82,0.0082,1.1946224282617615
83,0.0083,1.2066198442939666
84,0.0084,1.2185301543475457
85,0.0085,1.2303526798054265
86,0.0086,1.2420867542183796
87,0.0087,1.2537317233838723
88,0.0088,1.2652869454228084
89,0.0089,1.2767517908541406
90,0.009,1.2881256426673424
91,0.0091,1.2994078963927342
92,0.0092,1.3105979601696425
93,0.0093,1.3216952548123921
94,0.0094,1.332699213874116
95,0.0095,1.3436092837083722
96,0.0096,1.354424923528563
97,0.0097,1.3651456054651445
98,0.0098,1.375770814620616
99,0.0099,1.38630004912229
100,0.01,1.3967328201728215
101,0.0101,1.4070686520985054
