index,t,value
0,0.0,0.0
1,0.0001,0.006283130736385122
2,0.0002,0.012565934054063211
3,0.0003,0.018848082564625317
4,0.0004,0.02512924894025538
5,0.0005,0.03140910594401838
6,0.0006,0.03768732646013873
7,0.0007,0.043963583524265416
8,0.0008,0.05023755035372068
9,0.0009,0.05650890037772899
10,0.001,0.062777307267623
11,0.0011,0.06904244496702314
12,0.0012,0.07530398772198765
13,0.0013,0.08156161011112986
14,0.0014,0.087814987075699
15,0.0015,0.09406379394962207
16,0.0016,0.10030770648950263
17,0.0017,0.10654640090457393
18,0.0018,0.11277955388660281
19,0.0019,0.11900684263974105
20,0.002,0.1252279449103212
21,0.0021,0.1314425390165934
22,0.0022,0.13765030387840027
23,0.0023,0.1438509190467862
24,0.0024,0.15004406473353823
25,0.0025,0.15622942184065525
26,0.0026,0.16240667198974185
27,0.0027,0.16857549755132464
28,0.0028,0.17473558167408682
29,0.0029,0.18088660831401815
30,0.003,0.18702826226347777
31,0.0031,0.1931602291801657
32,0.0032,0.19928219561600077
33,0.0033,0.20539384904590127
34,0.0034,0.21149487789646554
35,0.0035,0.21758497157454917
36,0.0036,0.22366382049573597
37,0.0037,0.22973111611269934
38,0.0038,0.2357865509434511
39,0.0039,0.24182981859947517
40,0.004,0.24786061381374183
41,0.0041,0.253878632468601
42,0.0042,0.2598835716235508
43,0.0043,0.2658751295428782
44,0.0044,0.271853005723169
45,0.0045,0.27781690092068473
46,0.0046,0.28376651717860235
47,0.0047,0.2897015578541148
48,0.0048,0.29562172764538913
49,0.0049,0.30152673261837937
50,0.005,0.3074162802334909
51,0.0051,0.31329007937209413
52,0.0052,0.31914784036288396
53,0.0053,0.3249892750080829
54,0.0054,0.33081409660948397
55,0.0055,0.3366220199943317
56,0.0056,0.3424127615410385
57,0.0057,0.34818603920473135
58,0.0058,0.3539415725426304
59,0.0059,0.35967908273925175
60,0.006,0.36539829263143586
61,0.0061,0.37109892673319655
62,0.0062,0.3767807112603887
63,0.0063,0.3824433741551917
64,0.0064,0.38808664511040714
65,0.0065,0.39371025559356565
66,0.0066,0.39931393887084393
67,0.0067,0.4048974300307856
68,0.0068,0.41046046600782626
69,0.0069,0.41600278560561915
70,0.007,0.42152412952015833
71,0.0071,0.427024240362698
72,0.0072,0.4325028626824648
73,0.0073,0.43795974298916157
74,0.0074,0.4433946297752585
75,0.0075,0.4488072735380716
76,0.0076,0.4541974268016237
77,0.0077,0.4595648441382881
78,0.0078,0.46490928219021005
79,0.0079,0.4702304996905071
80,0.008,0.47552825748424155
81,0.0081,0.48080231854916744
82,0.0082,0.4860524480162475
83,0.0083,0.49127841318993676
84,0.0084,0.49647998356823453
85,0.0085,0.5016569308624983
86,0.0086,0.5068090290170201
87,0.0087,0.5119360542283631
88,0.0088,0.5170377849644561
89,0.0089,0.5221140019834419
90,0.009,0.527164488352283
91,0.0091,0.5321890294651155
92,0.0092,0.5371874130613554
93,0.0093,0.5421594292435521
94,0.0094,0.5471048704949886
95,0.0095,0.5520235316970257
96,0.0096,0.5569152101461894
97,0.0097,0.5617797055709987
98,0.0098,0.5666168201485324
99,0.0099,0.5714263585207353
100,0.01,0.5762081278104573
101,0.0101,0.5809619376372284
102,0.0102,0.5856876001327672
103,0.0103,0.5903849299562182
104,0.0104,0.59505374430912
105,0.0105,0.5996938629501016
106,0.0106,0.6043051082093042
107,0.0107,0.6088873050025291
108,0.0108,0.6134402808451087
109,0.0109,0.6179638658654999
110,0.011,0.6224578928185978
111,0.0111,0.6269221970987706
112,0.0112,0.631356616752611
113,0.0113,0.6357609924914052
114,0.0114,0.6401351677033189
115,0.0115,0.6444789884652959
116,0.0116,0.648792303554672
117,0.0117,0.6530749644605003
118,0.0118,0.6573268253945872
119,0.0119,0.6615477433022414
120,0.012,0.6657375778727278
121,0.0121,0.6698961915494333
122,0.0122,0.6740234495397384
123,0.0123,0.6781192198245944
124,0.0124,0.682183373167808
125,0.0125,0.6862157831250286
126,0.0126,0.6902163260524398
127,0.0127,0.6941848811151552
128,0.0128,0.6981213302953148
129,0.0129,0.7020255583998833
130,0.013,0.7058974530681507
131,0.0131,0.7097369047789304
132,0.0132,0.7135438068574594
133,0.0133,0.717318055481996
134,0.0134,0.7210595496901171
135,0.0135,0.7247681913847115
136,0.0136,0.7284438853396735
137,0.0137,0.732086539205291
138,0.0138,0.7356960635133314
139,0.0139,0.7392723716818237
140,0.014,0.7428153800195366
141,0.0141,0.7463250077301515
142,0.0142,0.7498011769161321
143,0.0143,0.7532438125822875
144,0.0144,0.756652842639032
145,0.0145,0.7600281979053382
146,0.0146,0.7633698121113859
147,0.0147,0.7666776219009045
148,0.0148,0.769951566833211
149,0.0149,0.7731915893849407
150,0.015,0.7763976349514752
151,0.0151,0.7795696518480625
152,0.0152,0.7827075913106315
153,0.0153,0.7858114074963046
154,0.0154,0.7888810574836012
155,0.0155,0.7919165012723376
156,0.0156,0.7949177017832244
157,0.0157,0.7978846248571559
158,0.0158,0.8008172392541982
159,0.0159,0.8037155166522716
160,0.016,0.806579431645531
161,0.0161,0.8094089617424417
162,0.0162,0.8122040873635548
163,0.0163,0.814964791838978
164,0.0164,0.8176910614055459
165,0.0165,0.8203828852036896
166,0.0166,0.8230402552740053
167,0.0167,0.8256631665535223
168,0.0168,0.8282516168716729
169,0.0169,0.8308056069459627
170,0.017,0.8333251403773437
171,0.0171,0.8358102236452893
172,0.0172,0.8382608661025737
173,0.0173,0.840677079969755
174,0.0174,0.8430588803293653
175,0.0175,0.8454062851198028
176,0.0176,0.8477193151289361
177,0.0177,0.8499979939874128
178,0.0178,0.852242348161678
179,0.0179,0.854452406946703
180,0.018,0.8566282024584249
181,0.0181,0.8587697696258976
182,0.0182,0.8608771461831569
183,0.0183,0.8629503726607992
184,0.0184,0.8649894923772754
185,0.0185,0.8669945514299022
186,0.0186,0.8689655986855909
187,0.0187,0.8709026857712944
188,0.0188,0.8728058670641762
189,0.0189,0.8746751996815003
190,0.019,0.8765107434702444
191,0.0191,0.8783125609964366
192,0.0192,0.8800807175342195
193,0.0193,0.8818152810546412
194,0.0194,0.8835163222141735
195,0.0195,0.8851839143429642
196,0.0196,0.8868181334328161
197,0.0197,0.8884190581249044
198,0.0198,0.8899867696972259
199,0.0199,0.8915213520517856
200,0.02,0.8930228917015233
201,0.0201,0.8944914777569776
202,0.0202,0.8959272019126931
203,0.0203,0.8973301584333715
204,0.0204,0.8987004441397661
205,0.0205,0.9000381583943261
206,0.0206,0.9013434030865867
207,0.0207,0.9026162826183125
208,0.0208,0.9038569038883919
209,0.0209,0.9050653762774868
210,0.021,0.9062418116324389
211,0.0211,0.9073863242504334
212,0.0212,0.9084990308629236
213,0.0213,0.9095800506193196
214,0.0214,0.9106295050704388
215,0.0215,0.9116475181517247
216,0.0216,0.9126342161662335
217,0.0217,0.9135897277673918
218,0.0218,0.9145141839415281
219,0.0219,0.9154077179901771
220,0.022,0.9162704655121645
221,0.0221,0.9171025643854679
222,0.0222,0.9179041547488619
223,0.0223,0.9186753789833463
224,0.0224,0.9194163816933605
225,0.0225,0.9201273096877869
226,0.0226,0.9208083119607451
227,0.0227,0.9214595396721789
228,0.0228,0.9220811461282404
229,0.0229,0.9226732867614706
230,0.023,0.9232361191107812
231,0.0231,0.9237698028012387
232,0.0232,0.9242744995236569
233,0.0233,0.9247503730139921
234,0.0234,0.9251975890325538
235,0.0235,0.9256163153430248
236,0.0236,0.9260067216912992
237,0.0237,0.9263689797841365
238,0.0238,0.9267032632676384
239,0.0239,0.927009747705547
240,0.024,0.9272886105573694
241,0.0241,0.9275400311563322
242,0.0242,0.9277641906871652
243,0.0243,0.9279612721637193
244,0.0244,0.9281314604064234
245,0.0245,0.9282749420195767
246,0.0246,0.9283919053684856
247,0.0247,0.9284825405564457
248,0.0248,0.9285470394015684
249,0.0249,0.9285855954134609
250,0.025,0.9285984037697578
251,0.0251,0.9285856612925091
252,0.0252,0.9285475664244258
253,0.0253,0.9284843192049888
254,0.0254,0.9283961212464197
255,0.0255,0.928283175709522
256,0.0256,0.9281456872793898
257,0.0257,0.9279838621409906
258,0.0258,0.927797907954624
259,0.0259,0.9275880338312581
260,0.026,0.9273544503077503
261,0.0261,0.927097369321949
262,0.0262,0.9268170041876868
263,0.0263,0.9265135695696608
264,0.0264,0.9261872814582093
265,0.0265,0.9258383571439828
266,0.0266,0.9254670151925164
267,0.0267,0.9250734754187023
268,0.0268,0.9246579588611707
269,0.0269,0.9242206877565774
270,0.027,0.9237618855138024
271,0.0271,0.9232817766880653
272,0.0272,0.9227805869549555
273,0.0273,0.9222585430843854
274,0.0274,0.9217158729144668
275,0.0275,0.9211528053253122
276,0.0276,0.9205695702127686
277,0.0277,0.9199663984620823
278,0.0278,0.9193435219215003
279,0.0279,0.9187011733758109
280,0.028,0.9180395865198259
281,0.0281,0.9173589959318088
282,0.0282,0.9166596370468502
283,0.0283,0.9159417461301954
284,0.0284,0.9152055602505265
285,0.0285,0.9144513172532008
286,0.0286,0.9136792557334525
287,0.0287,0.9128896150095553
288,0.0288,0.9120826350959537
289,0.0289,0.9112585566763631
290,0.029,0.9104176210768445
291,0.0291,0.9095600702388542
292,0.0292,0.9086861466922727
293,0.0293,0.9077960935284171
294,0.0294,0.9068901543730374
295,0.0295,0.9059685733593044
296,0.0296,0.9050315951007847
297,0.0297,0.9040794646644148
298,0.0298,0.903112427543471
299,0.0299,0.9021307296305413
300,0.03,0.9011346171905003
301,0.0301,0.9001243368334914
302,0.0302,0.899100135487921
303,0.0303,0.8980622603734645
304,0.0304,0.8970109589740886
305,0.0305,0.8959464790110939
306,0.0306,0.8948690684161804
307,0.0307,0.8937789753045371
308,0.0308,0.8926764479479613
309,0.0309,0.891561734748011
310,0.031,0.8904350842091893
311,0.0311,0.8892967449121686
312,0.0312,0.8881469654870546
313,0.0313,0.8869859945866962
314,0.0314,0.8858140808600392
315,0.0315,0.8846314729255319
316,0.0316,0.8834384193445833
317,0.0317,0.8822351685950782
318,0.0318,0.8810219690449478
319,0.0319,0.8797990689258064
320,0.032,0.8785667163066496
321,0.0321,0.8773251590676223
322,0.0322,0.8760746448738558
323,0.0323,0.8748154211493797
324,0.0324,0.8735477350511107
325,0.0325,0.8722718334429177
326,0.0326,0.8709879628697734
327,0.0327,0.8696963695319885
328,0.0328,0.8683972992595346
329,0.0329,0.8670909974864575
330,0.033,0.8657777092253851
331,0.0331,0.8644576790421319
332,0.0332,0.8631311510304005
333,0.0333,0.8617983687865891
334,0.0334,0.8604595753847011
335,0.0335,0.8591150133513625
336,0.0336,0.8577649246409518
337,0.0337,0.8564095506108396
338,0.0338,0.8550491319967488
339,0.0339,0.8536839088882285
340,0.034,0.8523141207042523
341,0.0341,0.8509400061689395
342,0.0342,0.8495618032874029
343,0.0343,0.8481797493217264
344,0.0344,0.8467940807670723
345,0.0345,0.8454050333279266
346,0.0346,0.8440128418944781
347,0.0347,0.8426177405191383
348,0.0348,0.841219962393204
349,0.0349,0.8398197398236618
350,0.035,0.8384173042101446
351,0.0351,0.8370128860220325
352,0.0352,0.8356067147757087
353,0.0353,0.834199019011969
354,0.0354,0.8327900262735888
355,0.0355,0.8313799630830475
356,0.0356,0.8299690549204178
357,0.0357,0.8285575262014152
358,0.0358,0.8271456002556172
359,0.0359,0.8257334993048489
360,0.036,0.8243214444417399
361,0.0361,0.8229096556084557
362,0.0362,0.8214983515756029
363,0.0363,0.8200877499213128
364,0.0364,0.818678067010504
365,0.0365,0.8172695179743293
366,0.0366,0.8158623166898034
367,0.0367,0.8144566757596189
368,0.0368,0.813052806492151
369,0.0369,0.8116509188816511
370,0.037,0.8102512215886343
371,0.0371,0.8088539219204591
372,0.0372,0.8074592258121079
373,0.0373,0.8060673378071602
374,0.0374,0.8046784610389714
375,0.0375,0.8032927972120506
376,0.0376,0.8019105465836434
377,0.0377,0.8005319079455218
378,0.0378,0.7991570786059807
379,0.0379,0.7977862543720448
380,0.038,0.7964196295318858
381,0.0381,0.7950573968374549
382,0.0382,0.7936997474873291
383,0.0383,0.7923468711097725
384,0.0384,0.7909989557460204
385,0.0385,0.7896561878337771
386,0.0386,0.7883187521909423
387,0.0387,0.7869868319995543
388,0.0388,0.7856606087899617
389,0.0389,0.7843402624252214
390,0.039,0.7830259710857216
391,0.0391,0.7817179112540372
392,0.0392,0.7804162577000141
393,0.0393,0.7791211834660846
394,0.0394,0.7778328598528205
