index,t,value
0,0.0,0.0
1,0.0001,0.013445829090470571
2,0.0002,0.026890533408119928
3,0.0003,0.040332988322828646
4,0.0004,0.05377206948986016
5,0.0005,0.06720665299250021
6,0.0006,0.08063561548463408
7,0.0007,0.0940578343332409
8,0.0008,0.1074721877607839
9,0.0009,0.12087755498747646
10,0.001,0.13427281637340288
11,0.0011,0.14765685356047337
12,0.0012,0.16102854961419225
13,0.0013,0.1743867891652195
14,0.0014,0.18773045855070417
15,0.0015,0.20105844595536967
16,0.0016,0.2143696415523304
17,0.0017,0.22766293764361883
18,0.0018,0.2409372288004032
19,0.0019,0.2541914120028748
20,0.002,0.26742438677978525
21,0.0021,0.2806350553476124
22,0.0022,0.2938223227493365
23,0.0023,0.30698509699280363
24,0.0024,0.3201222891886595
25,0.0025,0.33323281368783114
26,0.0026,0.34631558821853753
27,0.0027,0.3593695340228096
28,0.0028,0.37239357599249834
29,0.0029,0.3853866428047539
30,0.003,0.39834766705695235
31,0.0031,0.41127558540105424
32,0.0032,0.4241693386773733
33,0.0033,0.4370278720477355
34,0.0034,0.44985013512801186
35,0.0035,0.4626350821200022
36,0.0036,0.4753816719426532
37,0.0037,0.4880888683625917
38,0.0038,0.5007556401239528
39,0.0039,0.5133809610774851
40,0.004,0.5259638103089148
41,0.0041,0.5385031722665481
42,0.0042,0.5509980368880966
43,0.0043,0.5634473997267041
44,0.0044,0.5758502620761589
45,0.0045,0.5882056310952719
46,0.0046,0.6005125199314049
47,0.0047,0.6127699478431272
48,0.0048,0.6249769403219878
49,0.0049,0.6371325292133818
50,0.005,0.6492357528364947
51,0.0051,0.6612856561033083
52,0.0052,0.6732812906366499
53,0.0053,0.6852217148872688
54,0.0054,0.6971059942499209
55,0.0055,0.7089332011784493
56,0.0056,0.7207024152998381
57,0.0057,0.7324127235272302
58,0.0058,0.7440632201718852
59,0.0059,0.7556530070540692
60,0.006,0.7671811936128532
61,0.0061,0.7786468970148098
62,0.0062,0.7900492422615912
63,0.0063,0.8013873622963702
64,0.0064,0.8126603981091336
65,0.0065,0.8238674988408097
66,0.0066,0.8350078218862171
67,0.0067,0.8460805329958165
68,0.0068,0.8570848063762573
69,0.0069,0.8680198247896982
70,0.007,0.8788847796518908
71,0.0071,0.8896788711290138
72,0.0072,0.9004013082332394
73,0.0073,0.9110513089170231
74,0.0074,0.9216281001661013
75,0.0075,0.9321309180911821
76,0.0076,0.9425590080183206
77,0.0077,0.9529116245779621
78,0.0078,0.9631880317926406
79,0.0079,0.9733875031633241
80,0.008,0.9835093217543904
81,0.0081,0.9935527802772226
82,0.0082,1.0035171811724153
83,0.0083,1.013401836690575
84,0.0084,1.0232060689717077
85,0.0085,1.0329292101231817
86,0.0086,1.0425706022962506
87,0.0087,1.0521295977611356
88,0.0088,1.0616055589806426
89,0.0089,1.0709978586823188
90,0.009,1.0803058799291274
91,0.0091,1.0895290161886355
92,0.0092,1.0986666714007074
93,0.0093,1.1077182600436892
94,0.0094,1.116683207199079
95,0.0095,1.1255609486146738
96,0.0096,1.134350930766183
97,0.0097,1.1430526109173003
98,0.0098,1.1516654571782272
99,0.0099,1.1601889485626404
100,0.01,1.168622575043091
101,0.0101,1.1769658376048362
102,0.0102,1.185218248298088
103,0.0103,1.1933793302886766
104,0.0104,1.201448617907121
105,0.0105,1.2094256566961015
106,0.0106,1.217310003456323
107,0.0107,1.2251012262907695
108,0.0108,1.232798904647341
109,0.0109,1.2404026293598667
110,0.011,1.2479120026874884
111,0.0111,1.2553266383524162
112,0.0112,1.2626461615760391
113,0.0113,1.269870209113399
114,0.0114,1.276998429286016
115,0.0115,1.284030482013062
116,0.0116,1.2909660388408812
117,0.0117,1.2978047829708554
118,0.0118,1.304546409285601
119,0.0119,1.31119062437351
120,0.012,1.3177371465516199
121,0.0121,1.3241857058868138
122,0.0122,1.3305360442153527
123,0.0123,1.3367879151607298
124,0.0124,1.342941084149854
125,0.0125,1.348995328427553
126,0.0126,1.3549504370694008
127,0.0127,1.3608062109928665
128,0.0128,1.3665624629667819
129,0.0129,1.3722190176191307
130,0.013,1.3777757114431581
131,0.0131,1.3832323928017973
132,0.0132,1.3885889219304195
133,0.0133,1.393845170937904
134,0.0134,1.3990010238060289
135,0.0135,1.4040563763871843
136,0.0136,1.4090111364004119
137,0.0137,1.4138652234257678
138,0.0138,1.4186185688970148
139,0.0139,1.4232711160926415
140,0.014,1.4278228201252163
141,0.0141,1.4322736479290745
142,0.0142,1.4366235782463441
143,0.0143,1.4408726016113091
144,0.0144,1.4450207203331196
145,0.0145,1.4490679484768487
146,0.0146,1.4530143118429
147,0.0147,1.456859847944771
148,0.0148,1.4606046059851756
149,0.0149,1.464248646830533
150,0.015,1.467792042983822
151,0.0151,1.4712348785558143
152,0.0152,1.4745772492346836
153,0.0153,1.4778192622540023
154,0.0154,1.4809610363591266
155,0.0155,1.484002701771983
156,0.0156,1.4869444001542536
157,0.0157,1.4897862845689733
158,0.0158,1.4925285194405453
159,0.0159,1.4951712805131774
160,0.016,1.4977147548077516
161,0.0161,1.5001591405771304
162,0.0162,1.502504647259912
163,0.0163,1.5047514954326358
164,0.0164,1.5068999167604549
165,0.0165,1.508950153946274
166,0.0166,1.5109024606783734
167,0.0167,1.5127571015765149
168,0.0168,1.5145143521365496
169,0.0169,1.5161744986735302
170,0.017,1.5177378382633404
171,0.0171,1.5192046786828513
172,0.0172,1.5205753383486118
173,0.0173,1.5218501462540879
174,0.0174,1.523029441905457
175,0.0175,1.5241135752559696
176,0.0176,1.5251029066388908
177,0.0177,1.5259978066990294
178,0.0178,1.5267986563228702
179,0.0179,1.5275058465673141
180,0.018,1.5281197785870477
181,0.0181,1.5286408635605435
182,0.0182,1.5290695226147113
183,0.0183,1.5294061867482078
184,0.0184,1.529651296753422
185,0.0185,1.5298053031371401
186,0.0186,1.5298686660399161
187,0.0187,1.5298418551541475
188,0.0188,1.5297253496408796
189,0.0189,1.5295196380453464
190,0.019,1.529225218211262
191,0.0191,1.5288425971938813
192,0.0192,1.5283722911718371
193,0.0193,1.5278148253577721
194,0.0194,1.5271707339077791
195,0.0195,1.5264405598296646
196,0.0196,1.5256248548900486
197,0.0197,1.524724179520319
198,0.0198,1.5237391027214504
199,0.0199,1.522670201967709
200,0.02,1.5215180631092524
201,0.0201,1.520283280273647
202,0.0202,1.5189664557663098
203,0.0203,1.5175681999699002
204,0.0204,1.51608913124267
205,0.0205,1.5145298758157926
206,0.0206,1.512891067689685
207,0.0207,1.5111733485293402
208,0.0208,1.5093773675586877
209,0.0209,1.5075037814539953
210,0.021,1.505553254236334
211,0.0211,1.5035264571631186
212,0.0212,1.5014240686187441
213,0.0213,1.4992467740043334
214,0.0214,1.4969952656266148
215,0.0215,1.4946702425859466
216,0.0216,1.4922724106635057
217,0.0217,1.48980248220766
218,0.0218,1.4872611760195396
219,0.0219,1.4846492172378265
220,0.022,1.4819673372227815
221,0.0221,1.4792162734395269
222,0.0222,1.4763967693405984
223,0.0223,1.473509574247792
224,0.0224,1.470555443233321
225,0.0225,1.4675351370002971
226,0.0226,1.464449421762566
227,0.0227,1.4612990691239018
228,0.0228,1.458084855956593
229,0.0229,1.4548075642794274
230,0.023,1.4514679811351012
231,0.0231,1.4480668984670757
232,0.0232,1.444605112995886
233,0.0233,1.4410834260949381
234,0.0234,1.4375026436658043
235,0.0235,1.4338635760130358
236,0.0236,1.4301670377185172
237,0.0237,1.426413847515377
238,0.0238,1.4226048281614783
239,0.0239,1.4187408063125087
240,0.024,1.414822612394682
241,0.0241,1.4108510804770846
242,0.0242,1.4068270481436729
243,0.0243,1.4027513563649516
244,0.0244,1.3986248493693474
245,0.0245,1.3944483745143
246,0.0246,1.3902227821570867
247,0.0247,1.3859489255254107
248,0.0248,1.3816276605877584
249,0.0249,1.3772598459235583
250,0.025,1.3728463425931552
251,0.0251,1.3683880140076201
252,0.0252,1.3638857257984207
253,0.0253,1.3593403456869637
254,0.0254,1.3547527433540383
255,0.0255,1.3501237903091756
256,0.0256,1.3454543597599442
257,0.0257,1.3407453264812061
258,0.0258,1.335997566684346
259,0.0259,1.3312119578865016
260,0.026,1.3263893787798107
261,0.0261,1.3215307091006934
262,0.0262,1.3166368294991977
263,0.0263,1.3117086214084157
264,0.0264,1.306746966914004
265,0.0265,1.3017527486238167
266,0.0266,1.296726849537681
267,0.0267,1.291670152917324
268,0.0268,1.2865835421564842
269,0.0269,1.281467900651214
270,0.027,1.2763241116704023
271,0.0271,1.271153058226534
272,0.0272,1.2659556229467044
273,0.0273,1.2607326879439096
274,0.0274,1.2554851346886355
275,0.0275,1.2502138438807566
276,0.0276,1.2449196953217756
277,0.0277,1.2396035677874115
278,0.0278,1.2342663389005644
279,0.0279,1.228908885004671
280,0.028,1.2235320810374746
281,0.0281,1.2181368004052209
282,0.0282,1.2127239148573086
283,0.0283,1.207294294361407
284,0.0284,1.20184880697906
285,0.0285,1.1963883187417998
286,0.0286,1.190913693527781
287,0.0287,1.1854257929389627
288,0.0288,1.1799254761788496
289,0.0289,1.1744135999308176
290,0.029,1.1688910182370331
291,0.0291,1.1633585823779933
292,0.0292,1.1578171407527005
293,0.0293,1.152267538759488
294,0.0294,1.1467106186775202
295,0.0295,1.141147219548977
296,0.0296,1.135578177061947
297,0.0297,1.130004323434047
298,0.0298,1.1244264872967769
299,0.0299,1.1188454935806345
300,0.03,1.1132621634010107
301,0.0301,1.1076773139448717
302,0.0302,1.1020917583582506
303,0.0303,1.0965063056345692
304,0.0304,1.0909217605037977
305,0.0305,1.085338923322475
306,0.0306,1.079758589964606
307,0.0307,1.074181551713446
308,0.0308,1.0686085951541984
309,0.0309,1.0630405020676283
310,0.031,1.0574780493246212
311,0.0311,1.0519220087816923
312,0.0312,1.0463731471774655
313,0.0313,1.0408322260301415
314,0.0314,1.0353000015359572
315,0.0315,1.0297772244686692
316,0.0316,1.0242646400800604
317,0.0317,1.0187629880014923
318,0.0318,1.0132730021465162
319,0.0319,1.0077954106145564
320,0.032,1.0023309355956755
321,0.0321,0.9968802932764507
322,0.0322,0.9914441937469503
323,0.0323,0.9860233409088464
324,0.0324,0.9806184323846668
325,0.0325,0.975230159428196
326,0.0326,0.9698592068360476
327,0.0327,0.9645062528604125
328,0.0328,0.9591719691230007
329,0.0329,0.9538570205301853
330,0.033,0.9485620651893611
331,0.0331,0.9432877543265372
332,0.0332,0.9380347322051585
333,0.0333,0.9328036360461893
334,0.0334,0.9275950959494501
335,0.0335,0.9224097348162332
336,0.0336,0.9172481682731999
337,0.0337,0.9121110045975731
338,0.0338,0.9069988446436339
339,0.0339,0.9019122817705365
340,0.034,0.8968519017714441
341,0.0341,0.8918182828040044
342,0.0342,0.8868119953221663
343,0.0343,0.8818336020093533
344,0.0344,0.876883657712997
345,0.0345,0.8719627093804473
346,0.0346,0.8670712959962585
347,0.0347,0.8622099485208671
