index,t,value
0,0.0,0.0
1,0.0001,0.009299045726866417
2,0.0002,0.01859768029308684
3,0.0003,0.027895492567565926
4,0.0004,0.03719207147830711
5,0.0005,0.046487006041955624
6,0.0006,0.05577988539333397
7,0.0007,0.06507029881496734
8,0.0008,0.07435783576659608
9,0.0009,0.08364208591467341
10,0.001,0.09292263916184505
11,0.0011,0.10219908567640884
12,0.0012,0.11147101592175146
13,0.0013,0.12073802068576002
14,0.0014,0.12999969111020562
15,0.0015,0.1392556187200968
16,0.0016,0.1485053954530001
17,0.0017,0.15774861368832527
18,0.0018,0.16698486627657244
19,0.0019,0.17621374656853941
20,0.002,0.18543484844448552
21,0.0021,0.19464776634325054
22,0.0022,0.20385209529132567
23,0.0023,0.21304743093187398
24,0.0024,0.2222333695536983
25,0.0025,0.23140950812015385
26,0.0026,0.24057544429800257
27,0.0027,0.2497307764862082
28,0.0028,0.25887510384466744
29,0.0029,0.2680080263228769
30,0.003,0.2771291446885326
31,0.0031,0.2862380605560579
32,0.0032,0.2953343764150609
33,0.0033,0.30441769565871585
34,0.0034,0.313487622612067
35,0.0035,0.3225437625602537
36,0.0036,0.33158572177665213
37,0.0037,0.34061310755093355
38,0.0038,0.34962552821703474
39,0.0039,0.35862259318103973
40,0.004,0.3676039129489694
41,0.0041,0.3765690991544768
42,0.0042,0.38551776458644693
43,0.0043,0.39444952321649684
44,0.0044,0.40336399022637437
45,0.0045,0.4122607820352548
46,0.0046,0.42113951632693003
47,0.0047,0.4299998120768906
48,0.0048,0.43884128957929713
49,0.0049,0.44766357047383903
50,0.005,0.4564662777724781
51,0.0051,0.4652490358860747
52,0.0052,0.4740114706508948
53,0.0053,0.48275320935499555
54,0.0054,0.49147388076448517
55,0.0055,0.5001731151496586
56,0.0056,0.5088505443110038
57,0.0057,0.5175058016050771
58,0.0058,0.5261385219702458
59,0.0059,0.5347483419522967
60,0.006,0.5433348997299057
61,0.0061,0.5518978351399694
62,0.0062,0.5604367897027949
63,0.0063,0.5689514066471452
64,0.0064,0.5774413309351404
65,0.0065,0.5859062092870092
66,0.0066,0.5943456902056916
67,0.0067,0.6027594240012897
68,0.0068,0.6111470628153632
69,0.0069,0.619508260645071
70,0.007,0.6278426733671516
71,0.0071,0.6361499587617465
72,0.0072,0.6444297765360585
73,0.0073,0.6526817883478483
74,0.0074,0.6609056578287636
75,0.0075,0.6691010506075004
76,0.0076,0.6772676343327935
77,0.0077,0.6854050786962376
78,0.0078,0.6935130554549302
79,0.0079,0.7015912384539439
80,0.008,0.7096393036486165
81,0.0081,0.7176569291266641
82,0.0082,0.7256437951301129
83,0.0083,0.7335995840770454
