index,t,value
0,0.0,1.0
1,0.0001,1.001883177947662
2,0.0002,1.0037627961477538
3,0.0003,1.0056388479218858
4,0.0004,1.00751132660434
5,0.0005,1.0093802255420938
6,0.0006,1.0112455380948435
7,0.0007,1.0131072576350284
8,0.0008,1.0149653775478535
9,0.0009,1.0168198912313138
10,0.001,1.0186707920962172
11,0.0011,1.0205180735662085
12,0.0012,1.022361729077792
13,0.0013,1.0242017520803557
14,0.0014,1.0260381360361934
15,0.0015,1.0278708744205298
16,0.0016,1.0296999607215414
17,0.0017,1.0315253884403808
18,0.0018,1.0333471510912007
19,0.0019,1.0351652422011752
20,0.002,1.0369796553105237
21,0.0021,1.038790383972534
22,0.0022,1.040597421753585
23,0.0023,1.0424007622331688
24,0.0024,1.0442003990039153
25,0.0025,1.0459963256716127
26,0.0026,1.0477885358552324
27,0.0027,1.0495770231869501
28,0.0028,1.0513617813121696
29,0.0029,1.053142803889544
30,0.003,1.0549200845909996
31,0.0031,1.0566936171017574
32,0.0032,1.0584633951203564
33,0.0033,1.0602294123586748
34,0.0034,1.061991662541954
35,0.0035,1.0637501394088194
36,0.0036,1.065504836711303
37,0.0037,1.0672557482148661
38,0.0038,1.0690028676984216
39,0.0039,1.0707461889543548
40,0.004,1.0724857057885466
41,0.0041,1.0742214120203957
42,0.0042,1.0759533014828397
43,0.0043,1.0776813680223774
44,0.0044,1.0794056054990904
45,0.0045,1.0811260077866658
46,0.0046,1.082842568772417
47,0.0047,1.0845552823573055
48,0.0048,1.0862641424559636
49,0.0049,1.0879691429967142
50,0.005,1.0896702779215943
51,0.0051,1.0913675411863752
52,0.0052,1.0930609267605849
53,0.0053,1.0947504286275285
54,0.0054,1.0964360407843101
55,0.0055,1.0981177572418548
56,0.0056,1.0997955720249288
57,0.0057,1.1014694791721615
58,0.0058,1.103139472736066
59,0.0059,1.1048055467830604
60,0.006,1.10646769539349
61,0.0061,1.1081259126616467
62,0.0062,1.1097801926957909
63,0.0063,1.1114305296181715
